Welcome to the Bank Simulation!
We need some information to initialize your simulation...
How many tellers will you have? How many hours will your bank be open? How many customers do you expect per hour? What is the average transaction time (in minutes) of a customer? How many people can wait in your bank? Enter a seed: 
Individual Customer Service Information:
Customer        Arrival        Service          Queue         Teller      Time Serv      Time Cust      Time Serv     Time Spent
ID              Time           Time            Loc            Loc         Begins          Waits           Ends         in Sys
----            ----           ----           ----           ----           ----           ----           ----           ----
165           347.93           0.56              0              1         384.78          36.84         385.58          37.65
166           348.75          17.93              0              1         385.58          36.83         386.56          37.81
167           350.11           2.06              0              1         386.56          36.45         388.15          38.04
159           327.88          19.15              0              0         375.89          48.01         388.58           60.7
174           365.66           8.49              0              1         388.15           22.5         390.58          24.92
176           379.52           1.55              0              1         390.58          11.06         395.11          15.59
177           380.07            9.3              0              1         395.11          15.04         397.49          17.43
178           383.25          44.66              0              1         397.49          14.25         400.62          17.37
179           384.16            5.2              0              1         400.62          16.46         409.89          25.74
175            379.5           9.52              0              0         388.58           9.07         413.28          33.78
181           389.12           4.23              0              0         413.28          24.17          415.8          26.69
182            389.3           6.13              0              0          415.8           26.5         434.99          45.69
183            389.6           2.92              0              0         434.99          45.39          439.4           49.8
184           394.38           0.15              0              0          439.4          45.02         454.73          60.36
180           387.29           5.14              0              1         409.89          22.61         456.06          68.77
186           397.29           4.59              0              1         456.06          58.76         457.22          59.93
185           397.27            2.1              0              0         454.73          57.46         462.86          65.58
188           398.89          10.13              0              0         462.86          63.97         473.12          74.23
187           397.71           3.73              0              1         457.22          59.51         473.45          75.73
190           400.73          10.21              0              0         473.12          72.39         485.34          84.61
195           414.34           7.95              0              0         485.34             71         487.16          72.82
196           416.15           3.51              0              0         487.16          71.01         493.94          77.79
206           435.46           3.61              0              0         493.94          58.48         495.76           60.3
194           412.13           4.66              0              1         473.45          61.32         499.18          87.05
218           455.46           3.09              0              1         499.18          43.73          505.5          50.05
209           445.55          22.51              0              0         495.76          50.21         509.09          63.54
219           456.27            7.3              0              1          505.5          49.23          510.8          54.53
220           459.71           3.86              0              0         509.09          49.38          521.9          62.19
225           476.92           4.43              0              0          521.9          44.97         525.93             49
226           477.67           0.85              0              0         525.93          48.26         529.16          51.49
223           469.68           0.37              0              1          510.8          41.12         557.34          87.67


Customers who did not stay:
Customer        Arrival        Service
Id              Time           Time
----            ----           ----
28             56.54          15.09
29             56.97           14.4
32             65.65          16.99
33              69.5          12.62
34             71.42          11.75
35             71.97           3.07
36             72.49           1.31
41             80.71           2.37
44             90.39           1.76
46             97.89           7.62
48            100.68          10.75
49            101.84           2.11
50            102.25          11.95
51            103.47           2.26
53             113.7           8.96
54            117.96          18.97
56             119.3           6.63
57            119.32           0.51
58             119.9           7.64
59            120.94           6.82
62            123.82          16.62
64            129.03           2.23
65            129.47           0.35
66            129.96           10.8
67            132.32           0.13
68            132.58           2.68
72            140.23           2.45
77            151.71           2.39
78            152.43          15.34
79            153.61           0.52
81            156.05           0.28
82            156.25            4.9
83            157.26           0.78
85            161.86           1.17
87            165.14           6.34
88            165.66           7.38
89            170.53          11.14
98            199.73          25.75
99            200.87          31.84
101           205.93            1.4
102           206.09            8.5
103           206.99          29.66
105           210.61           1.19
108           219.92           6.25
109           220.45           0.63
110           220.83          12.79
111           221.61           2.95
113           222.54           1.12
138           287.42          11.39
140            289.9           0.01
141           292.49           7.86
142           292.94           0.49
143           295.02          19.85
149           311.48          10.27
150           311.95            3.5
151           312.21            1.6
152           314.32           1.31
153            319.5          30.45
154           321.57          25.99
155           321.85           8.84
156           323.16           2.75
160           336.17           2.24
161           336.71           8.37
162           339.36           3.53
168           359.12            0.3
169           360.42          13.34
170           362.78           0.78
171           362.84           1.55
172            362.9          18.77
